entity.id,entity.name,entity.type,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.rating,entity.slug,entity.pageUrl,entity.region,entity.country,entity.starRating,entity.destinationId,entity.destinationSlug,entity.tags
TF-DEST-012,Maldives,destination,Beach,"The Maldives is the world's most dispersed island nation — 1,192 coral islets scattered across the Indian Ocean like jewels, each ringed by powdery white beaches and impossibly turquoise lagoons. Overwater bungalows, bioluminescent bays, and the world's largest concentration of marine life await.",https://images.unsplash.com/photo-1514282401047-d79a71a590e8?w=800&q=80,90000,5.0,maldives,/destinations/maldives,International,Maldives,n/a,n/a,n/a,"Overwater Bungalow Stay;Snorkeling with Manta Rays;Sunset Dolphin Cruise;Underwater Restaurant Dining;Scuba Diving at Maaya Thila;Sandbank Picnic at Private Island"
TF-DEST-013,Thailand,destination,Beach,"Thailand dazzles with its mix of ornate Buddhist temples, exhilarating street food scenes, and paradise islands with emerald waters. From the buzzing streets of Bangkok to the serene temples of Chiang Mai and the iconic limestone karsts of Krabi, every corner of Thailand captivates.",https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800&q=80,35000,4.7,thailand,/destinations/thailand,International,Thailand,n/a,n/a,n/a,"Grand Palace & Wat Pho in Bangkok;Phi Phi Islands Island Hopping;Elephant Sanctuary in Chiang Mai;Thai Street Food Tour;Snorkeling at Similan Islands;Traditional Thai Massage"
TF-DEST-014,Singapore,destination,City,"Singapore is a gleaming city-state that seamlessly blends East and West — futuristic skyscrapers stand alongside colonial-era districts, and hawker centers serve some of Asia's best street food. Gardens by the Bay, Marina Bay Sands, and Sentosa Island make it an endlessly rewarding destination.",https://images.unsplash.com/photo-1565967511849-76a60a516170?w=800&q=80,55000,4.8,singapore,/destinations/singapore,International,Singapore,n/a,n/a,n/a,"Gardens by the Bay & Supertree Grove;Marina Bay Sands SkyPark;Hawker Centre Food Crawl;Universal Studios Singapore;Chinatown & Little India Walk;Night Safari at Singapore Zoo"
TF-DEST-015,Dubai,destination,City,"Dubai is the city of superlatives — home to the world's tallest building, largest mall, and most luxurious hotels. This dazzling metropolis in the Arabian Desert offers thrilling desert safaris, glitzy shopping, world-class dining, and architectural marvels at every turn.",https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800&q=80,65000,4.8,dubai,/destinations/dubai,International,UAE,n/a,n/a,n/a,"Burj Khalifa Observation Deck;Desert Safari & Camel Ride;Dubai Mall & Dubai Fountain;Luxury Dhow Cruise Dinner;Ski Dubai at Mall of the Emirates;Palm Jumeirah & Atlantis Visit"
TF-DEST-016,Paris,destination,City,"The ""City of Light"" is the world's most visited destination — an intoxicating blend of iconic landmarks, world-class art, haute cuisine, and effortless Parisian chic. From the Eiffel Tower's glittering lights to strolling along the Seine, Paris is the eternal standard of romance.",https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=800&q=80,85000,4.9,paris,/destinations/paris,International,France,n/a,n/a,n/a,"Eiffel Tower Summit at Sunset;Louvre Museum & Mona Lisa;Montmartre & Sacré-Cœur;Versailles Palace & Gardens;Seine River Dinner Cruise;Parisian Café & Croissant Walk"
TF-DEST-017,Switzerland,destination,Mountain,"Switzerland is nature's masterpiece — a small country packed with the Alps' most dramatic scenery, mirror-like lakes, medieval villages, and some of Europe's finest ski resorts. Whether you're watching the Matterhorn glow at dawn in Zermatt or gliding on Jungfrau's glaciers, Switzerland is extraordinary.",https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&q=80,100000,4.9,switzerland,/destinations/switzerland,International,Switzerland,n/a,n/a,n/a,"Jungfraujoch ""Top of Europe"" Rail Journey;Skiing in Zermatt near the Matterhorn;Lake Geneva Scenic Cruise;Swiss Chocolate & Cheese Factory Tour;Interlaken Paragliding;Lucerne Chapel Bridge & Old Town"
TF-DEST-018,London,destination,City,"London is one of history's great world cities — a dynamic, multi-cultural metropolis where red double-decker buses pass centuries-old palaces. World-class museums, vibrant theatre, diverse cuisine, and iconic landmarks like Big Ben and Tower Bridge make London endlessly captivating.",https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?w=800&q=80,90000,4.7,london,/destinations/london,International,United Kingdom,n/a,n/a,n/a,"Buckingham Palace & Changing of the Guard;Tower of London & Crown Jewels;British Museum & National Gallery;Thames Cruise & Tower Bridge;West End Theatre Show;Borough Market & Camden Town"
TF-DEST-019,Greece,destination,Beach,"Greece is the cradle of Western civilisation and one of the world's most photogenic destinations. Sun-bleached white-and-blue villages cascading down volcanic cliffs, azure Aegean waters, ancient ruins glowing in golden light — Santorini and Mykonos are bucket-list icons for good reason.",https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff?w=800&q=80,80000,4.8,greece,/destinations/greece,International,Greece,n/a,n/a,n/a,"Santorini Caldera Sunset in Oia;Acropolis & Parthenon in Athens;Mykonos Windmills & Little Venice;Greek Island Ferry Hopping;Delphi Oracle Archaeological Site;Traditional Taverna Feast"
TF-DEST-020,New York City,destination,City,"New York City is the ultimate urban adventure — five boroughs bursting with iconic landmarks, world-class art, diverse neighborhoods, and an energy unlike anywhere else on Earth. From the neon blaze of Times Square to the serene paths of Central Park, NYC is a city that never stops inspiring.",https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=800&q=80,95000,4.8,new-york,/destinations/new-york,International,USA,n/a,n/a,n/a,"Top of the Rock / Empire State Building;Central Park Walk & Strawberry Fields;Statue of Liberty & Ellis Island;Metropolitan Museum of Art;Brooklyn Bridge & DUMBO;Broadway Show in Times Square"
TF-HOTEL-001,Taj Exotica Resort & Spa,hotel,n/a,"A luxury beachfront resort set amid 56 acres of gardens on Benaulim Beach, the Taj Exotica offers unparalleled Goan elegance. The award-winning spa, signature Goan seafood restaurant, and private beach cabanas create an immersive paradise experience.",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,18500,4.9,taj-exotica-goa,/hotels/taj-exotica-goa,n/a,n/a,5,TF-DEST-001,goa,"Private Pool;Spa;Free Wifi;Fine Dining;Beach Access;Gym;Water Sports"
TF-HOTEL-002,Park Hyatt Goa Resort,hotel,n/a,"Inspired by Indo-Portuguese heritage, the Park Hyatt Goa spans 45 acres of lush tropical gardens overlooking Arossim Beach. Its stunning infinity pool, three restaurants, and holistic Sereno Spa make it a perennial favourite for families and couples alike.",https://images.unsplash.com/photo-1455587734955-081b22074882?w=800&q=80,14000,4.7,park-hyatt-goa,/hotels/park-hyatt-goa,n/a,n/a,5,TF-DEST-001,goa,"Pool;Spa;Free Wifi;Restaurant;Gym;Tennis Court;Kids Club"
TF-HOTEL-003,SPAN Resort & Spa,hotel,n/a,"Perched on the banks of the Beas River with spectacular Himalayan peaks as a backdrop, SPAN Resort is Manali's most celebrated luxury property. Glass-fronted rooms facing the river, a heated infinity pool at altitude, and direct access to adventure activities define the experience.",https://images.unsplash.com/photo-1439130490301-25e322d88054?w=800&q=80,12000,4.8,span-resort-manali,/hotels/span-resort-manali,n/a,n/a,5,TF-DEST-002,manali,"Heated Pool;Spa;Free Wifi;River View Restaurant;Bonfire Area;Adventure Desk"
TF-HOTEL-004,Solang Valley Resort,hotel,n/a,"Ideally located near Solang Valley's ski slopes, this resort is every adventure enthusiast's dream base. The cedar-panelled rooms with mountain views, hearty Himachali meals, and helpful adventure guides make this a go-to for both skiers and trekkers.",https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800&q=80,7500,4.5,solang-valley-resort,/hotels/solang-valley-resort,n/a,n/a,4,TF-DEST-002,manali,"Free Wifi;Restaurant;Ski Storage;Bonfire;Airport Shuttle;Tour Desk"
TF-HOTEL-005,Kumarakom Lake Resort,hotel,n/a,"Set on the banks of Vembanad Lake with heritage-style Kerala architecture, this award-winning resort is a sanctuary of Ayurvedic healing and backwater beauty. Its private pool villas, authentic Keralan cuisine, and traditional houseboat excursions are simply incomparable.",https://images.unsplash.com/photo-1540541338287-41700207dee6?w=800&q=80,22000,4.9,kumarakom-lake-resort,/hotels/kumarakom-lake-resort,n/a,n/a,5,TF-DEST-003,kerala,"Private Pool Villas;Ayurveda Spa;Free Wifi;Lake Dining;Houseboat;Yoga;Gym"
TF-HOTEL-006,Coconut Lagoon by CGH Earth,hotel,n/a,"Accessible only by boat, Coconut Lagoon is an eco-resort carved from an ancient tharavadu (traditional Kerala home) transported stone by stone. Surrounded by coconut palms and Vembanad Lake, it offers an intimate connection with Kerala's backwater culture.",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,9500,4.6,coconut-lagoon-kerala,/hotels/coconut-lagoon-kerala,n/a,n/a,4,TF-DEST-003,kerala,"Pool;Ayurveda;Free Wifi;Restaurant;Canoe;Bird Watching;Yoga"
TF-HOTEL-007,Rambagh Palace,hotel,n/a,"Once the residence of the Maharaja of Jaipur, Rambagh Palace is the jewel in the crown of India's palace hotels. With 47 acres of manicured Mughal gardens, royal suites adorned with handcrafted jali work, and butler service, it is nothing short of living history.",https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=800&q=80,35000,4.9,rambagh-palace-jaipur,/hotels/rambagh-palace-jaipur,n/a,n/a,5,TF-DEST-004,rajasthan,"Royal Pool;Spa;Free Wifi;Fine Dining;Polo Ground;Peacock Lawn;Butler Service"
TF-HOTEL-008,Taj Lake Palace Udaipur,hotel,n/a,"Floating like a dream on Lake Pichola since 1746, the Taj Lake Palace is widely considered one of the world's most romantic hotels. Accessible only by boat, its marble courtyards, lotus ponds, and lake-view suites offer a fairy-tale escape amid Udaipur's City of Lakes.",https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800&q=80,40000,4.9,taj-lake-palace-udaipur,/hotels/taj-lake-palace-udaipur,n/a,n/a,5,TF-DEST-004,rajasthan,"Pool;Spa;Free Wifi;Lake View Dining;Boat Transfers;Cultural Shows;Yoga"
TF-HOTEL-009,Vivanta Dal View,hotel,n/a,"Commanding sweeping views over Dal Lake and the snow-crowned Himalayan range, Vivanta Dal View is Srinagar's most distinguished luxury hotel. Its award-winning Jiva Spa, authentic Wazwan cuisine, and complimentary Shikara rides combine for a memorable Kashmir experience.",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,16000,4.7,vivanta-dal-view-srinagar,/hotels/vivanta-dal-view-srinagar,n/a,n/a,5,TF-DEST-005,kashmir,"Pool;Spa;Free Wifi;Multi-cuisine Restaurant;Dal Lake View;Shikara Rides;Gym"
TF-HOTEL-010,Taj Exotica Andaman,hotel,n/a,"Nestled on Havelock Island along Radhanagar Beach – Asia's finest beach – Taj Exotica Andaman is a rainforest-meets-beach luxury escape. The resort's private dive centre, overwater decks, and coral reef snorkeling put the Andamans' marine wonders right at your feet.",https://images.unsplash.com/photo-1571003123894-1f0594d2b5d9?w=800&q=80,28000,4.8,taj-exotica-andaman,/hotels/taj-exotica-andaman,n/a,n/a,5,TF-DEST-006,andaman,"Private Beach;Spa;Free Wifi;Reef View Dining;Dive Center;Snorkeling;Pool"
TF-HOTEL-011,Barefoot at Havelock,hotel,n/a,"Barefoot at Havelock is an eco-luxury retreat tucked within a lush forest, just footsteps from the turquoise waters of Beach No. 5. Teak-and-bamboo cottages, PADI dive training, and forest yoga sessions attract nature lovers seeking an authentic island escape.",https://images.unsplash.com/photo-1590523741831-ab7e8b8f9c7f?w=800&q=80,8500,4.5,barefoot-havelock,/hotels/barefoot-havelock,n/a,n/a,4,TF-DEST-006,andaman,"Beach Access;Dive Centre;Free Wifi;Restaurant;Kayaking;Eco Cottages"
TF-HOTEL-012,The Grand Dragon Ladakh,hotel,n/a,"Perched at 3,505 metres in Leh with panoramic views of the Stok Kangri mountain range, The Grand Dragon is Ladakh's leading luxury hotel. Its oxygen lounge (essential at altitude), rooftop stargazing, and Ladakhi heritage décor make it the ideal high-altitude luxury base.",https://images.unsplash.com/photo-1506197603052-3cc9c3a201bd?w=800&q=80,14000,4.7,the-grand-dragon-ladakh,/hotels/the-grand-dragon-ladakh,n/a,n/a,5,TF-DEST-007,ladakh,"Free Wifi;Restaurant;Oxygen Lounge;Spa;Roof Terrace;Tour Desk;Helipad"
TF-HOTEL-013,JW Marriott Mussoorie,hotel,n/a,"Built as a Victorian estate on the ridge of Mussoorie, the JW Marriott offers breathtaking 180-degree views of the Doon Valley and snow-capped Himalayan peaks. Its heated infinity pool against mountain scenery, three gourmet restaurants, and indulgent spa set a new standard for Uttarakhand luxury.",https://images.unsplash.com/photo-1563911302283-d2bc129e7570?w=800&q=80,19000,4.8,jw-marriott-mussoorie,/hotels/jw-marriott-mussoorie,n/a,n/a,5,TF-DEST-008,mussoorie,"Infinity Pool;Spa;Free Wifi;Valley View Restaurant;Bonfire;Gym;Kids Area"
TF-HOTEL-014,Wildflower Hall,hotel,n/a,"Set 8,250 feet above sea level in dense cedar forests above Shimla, Wildflower Hall is a former Commander-in-Chief residence transformed into one of Asia's great mountain resorts. Its cedar-panelled suites, spectacular snow views, and world-class Oberoi spa draw discerning travellers year-round.",https://images.unsplash.com/photo-1549294413-26f195200c16?w=800&q=80,24000,4.9,wildflower-hall-shimla,/hotels/wildflower-hall-shimla,n/a,n/a,5,TF-DEST-009,shimla,"Heated Pool;Spa;Free Wifi;Fine Dining;Cedar Forest;Library;Jacuzzi"
TF-HOTEL-015,Mayfair Darjeeling,hotel,n/a,"Dating back to 1925, the Mayfair Darjeeling is a grand colonial mansion set amid immaculate gardens with direct views of Kanchenjunga. The elegantly appointed rooms, curated Darjeeling tea experiences, and old-world charm make it the undisputed queen of Darjeeling hospitality.",https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800&q=80,11000,4.7,mayfair-darjeeling,/hotels/mayfair-darjeeling,n/a,n/a,5,TF-DEST-010,darjeeling,"Spa;Free Wifi;Himalayan View Restaurant;Tea Lounge;Garden;Helipad;Heritage Rooms"
TF-HOTEL-016,Four Seasons Bali at Sayan,hotel,n/a,"Suspended above the sacred Ayung River gorge amid Ubud's jungle canopy, Four Seasons Bali at Sayan is a transcendent experience. Private pool villas sit in terraced rice paddies, the restaurant serves farm-to-table Balinese cuisine, and sunrise yoga on the river deck is transformative.",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,55000,5.0,four-seasons-bali,/hotels/four-seasons-bali,n/a,n/a,5,TF-DEST-011,bali,"Infinity Pool;Spa;Free Wifi;Jungle Dining;Yoga Pavilion;Cooking Class;Meditation"
TF-HOTEL-017,Alaya Resort Ubud,hotel,n/a,"Beautifully positioned amid Ubud's rolling rice terraces, Alaya Resort offers modern Balinese luxury at a more accessible price point. The rice field-facing restaurant, traditional healing spa, and guided rice terrace walks connect guests deeply with authentic Ubud life.",https://images.unsplash.com/photo-1518602164578-cd0074062767?w=800&q=80,18000,4.6,alaya-resort-ubud,/hotels/alaya-resort-ubud,n/a,n/a,4,TF-DEST-011,bali,"Pool;Spa;Free Wifi;Rice Field Restaurant;Yoga;Bicycle Rental;Temple Tour"
TF-HOTEL-018,Soneva Jani,hotel,n/a,"On the secluded Noonu Atoll, Soneva Jani is the definitive Maldives ultra-luxury escape. Overwater villas with retractable roofs for stargazing, an underground cave restaurant, a resident astronomer, and a House of Imagination for children define a benchmark in bespoke luxury hospitality.",https://images.unsplash.com/photo-1439130490301-25e322d88054?w=800&q=80,120000,5.0,soneva-jani-maldives,/hotels/soneva-jani-maldives,n/a,n/a,5,TF-DEST-012,maldives,"Private Pool;Overwater Villa;Spa;Free Wifi;Observatory;Snorkeling;Seaplane"
TF-HOTEL-019,Amanpuri Phuket,hotel,n/a,"Aman's very first resort, Amanpuri stands on a private peninsula on Phuket's west coast in a sea of coconut palms. Its Thai pavilion architecture, fleet of luxury boats, and an extraordinary spa drawing on ancient Thai healing traditions make it the timeless standard of Thai luxury.",https://images.unsplash.com/photo-1540541338287-41700207dee6?w=800&q=80,75000,4.9,amanpuri-phuket,/hotels/amanpuri-phuket,n/a,n/a,5,TF-DEST-013,thailand,"Private Pool;Spa;Free Wifi;Beach Club;Water Sports;Yacht Charter;Fine Dining"
TF-HOTEL-020,Anantara Riverside Bangkok,hotel,n/a,"Set on the west bank of the Chao Phraya River with stunning views of Bangkok's skyline, Anantara Riverside is a tropical garden resort within the city. The award-winning Mandara Spa, riverside restaurants, and complimentary shuttle boats to the city's key attractions are standout features.",https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800&q=80,18000,4.7,anantara-riverside-bangkok,/hotels/anantara-riverside-bangkok,n/a,n/a,5,TF-DEST-013,thailand,"Pool;Spa;Free Wifi;River Dining;Thai Cooking Class;Shuttle Boat;Gym"
TF-HOTEL-021,Marina Bay Sands,hotel,n/a,"An iconic triple-tower architectural marvel crowned by the world-famous SkyPark and its 150-metre infinity pool. Marina Bay Sands is less a hotel and more a city-within-a-city, housing celebrity-chef restaurants by Wolfgang Puck and Daniel Boulud, luxury shopping, and unparalleled views of Singapore.",https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=800&q=80,55000,4.8,marina-bay-sands-singapore,/hotels/marina-bay-sands-singapore,n/a,n/a,5,TF-DEST-014,singapore,"Infinity Pool;Casino;Free Wifi;Celebrity Restaurants;SkyPark;Gym;Spa"
TF-HOTEL-022,Burj Al Arab Jumeirah,hotel,n/a,"The only 7-star hotel in the world, the Burj Al Arab stands on its own man-made island off Dubai's coast as the ultimate symbol of Arabian luxury. Duplex suites with personal butlers, a submarine-themed restaurant Al Mahara, and Rolls-Royce transfers define an experience without equal.",https://images.unsplash.com/photo-1517840901100-8179e982acb7?w=800&q=80,150000,4.9,burj-al-arab-dubai,/hotels/burj-al-arab-dubai,n/a,n/a,5,TF-DEST-015,dubai,"Private Butler;Helipad;Free Wifi;Underwater Restaurant;Private Beach;Rolls Royce;Spa"
TF-HOTEL-023,Atlantis The Palm,hotel,n/a,"Dubai's legendary resort on the Palm Jumeirah is a world unto itself. The Lost Chambers Aquarium, Aquaventure Waterpark, 17 restaurants and bars, and 800 metres of private beach make Atlantis the definitive family and adventure resort in the Middle East.",https://images.unsplash.com/photo-1584132967334-10e028bd69f7?w=800&q=80,35000,4.6,atlantis-the-palm-dubai,/hotels/atlantis-the-palm-dubai,n/a,n/a,5,TF-DEST-015,dubai,"Aquaventure Waterpark;Private Beach;Free Wifi;Aquarium;Kids Club;Spa;Casino"
TF-HOTEL-024,Le Bristol Paris,hotel,n/a,"On the prestigious Rue du Faubourg Saint-Honoré, Le Bristol Paris is one of the grande dames of Parisian palace hotels. Épicure, its three-Michelin-star restaurant, the rooftop garden pool overlooking Paris rooftops, and rooms furnished with 18th-century French antiques define timeless Parisian excellence.",https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800&q=80,95000,4.9,le-bristol-paris,/hotels/le-bristol-paris,n/a,n/a,5,TF-DEST-016,paris,"Rooftop Pool;Spa;Free Wifi;3-Michelin Star Restaurant;Garden;Concierge;Art Collection"
TF-HOTEL-025,Badrutt's Palace Hotel,hotel,n/a,"Towering above the glacier lake of St. Moritz since 1896, Badrutt's Palace is the birthplace of winter tourism. This iconic Swiss palace offers ski-in/ski-out access to the Engadin slopes, a private ice rink, legendary King's Club nightclub, and seven restaurants of global distinction.",https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&q=80,110000,4.9,badrutt-palace-stmoritz,/hotels/badrutt-palace-stmoritz,n/a,n/a,5,TF-DEST-017,switzerland,"Ski In/Out;Spa;Free Wifi;Ice Rink;Lake View;Fine Dining;Curling Club"
TF-HOTEL-026,Victoria-Jungfrau Grand Hotel,hotel,n/a,"A 19th-century grand hotel facing the iconic Eiger, Mönch, and Jungfrau peaks in Interlaken, the Victoria-Jungfrau is the heart of Swiss mountain hospitality. Its 3,600 sq m spa, Belle Époque architecture, and position as the gateway to the Jungfraujoch make it legendary.",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&q=80,65000,4.8,victoria-jungfrau-interlaken,/hotels/victoria-jungfrau-interlaken,n/a,n/a,5,TF-DEST-017,switzerland,"Spa;Free Wifi;Eiger View Pool;Fine Dining;Tennis;Golf;Helicopter Excursions"
TF-HOTEL-027,The Savoy London,hotel,n/a,"Since 1889, The Savoy has been London's most iconic address — an Art Deco and Edwardian masterpiece where Winston Churchill, Frank Sinatra, and Marilyn Monroe once stayed. Gordon Ramsay's restaurant, the legendary American Bar, and Thames-view suites continue its incomparable legacy.",https://images.unsplash.com/photo-1564501049412-61c2a3083791?w=800&q=80,80000,4.8,the-savoy-london,/hotels/the-savoy-london,n/a,n/a,5,TF-DEST-018,london,"Pool;Spa;Free Wifi;Gordon Ramsay Restaurant;Thames View;Art Deco Bar;Butlers"
